name,qty,value
USP-S | Forest Leaves (Field-Tested),662,2648
MAC-10 | Palm (Field-Tested),520,2600
Chroma 3 Case,7752,1472880
Sticker | Ninjas in Pyjamas | Cologne 2014,44,18744
Sticker | Team EnVyUs | Cologne 2015,228,62700
Sticker | rain | Cologne 2015,14,8162
Sticker | Edward | Cologne 2015,15,6150
Sticker | Cloud9 G2A | Cologne 2015,259,71484
Negev | Man-o'-war (Minimal Wear),392,4704
Operation Breakout Weapon Case,10000,5870000
P250 | Valence (Field-Tested),623,5607
P250 | Splash (Minimal Wear),35,60095
Galil AR | Cerberus (Well-Worn),48,67728
Desert Eagle | Conspiracy (Minimal Wear),376,229360
Sawed-Off | The Kraken (Field-Tested),31,10943
MAG-7 | Heat (Minimal Wear),110,10010
Nova | Candy Apple (Minimal Wear),399,1995
MP7 | Armor Core (Field-Tested),194,1940
P90 | Trigon (Field-Tested),164,125296
AWP | Worm God (Minimal Wear),907,144213
AUG | Chameleon (Minimal Wear),146,36062
FAMAS | Neural Net (Minimal Wear),159,16218
Dual Berettas | Urban Shock (Minimal Wear),59,10443
M4A4 | Evil Daimyo (Minimal Wear),436,98100
SG 553 | Cyrex (Well-Worn),110,41360
StatTrak™ USP-S | Stainless (Field-Tested),91,116662
StatTrak™ M4A1-S | Basilisk (Minimal Wear),176,338624
AUG | Chameleon (Factory New),118,45312
Glock-18 | Brass (Field-Tested),34,56916
CZ75-Auto | Tigris (Field-Tested),132,6996
FAMAS | Cyanospatter (Battle-Scarred),88,264
StatTrak™ CZ75-Auto | Twist (Field-Tested),54,11934
StatTrak™ Galil AR | Sandstorm (Field-Tested),72,12024
SG 553 | Army Sheen (Field-Tested),2975,2975
USP-S | Stainless (Factory New),24,43608
USP-S | Business Class (Minimal Wear),6,18954
Sawed-Off | Serenity (Well-Worn),10,1270
Sawed-Off | Full Stop (Factory New),25,1025
M4A1-S | Atomic Alloy (Minimal Wear),450,2247300
AK-47 | Redline (Field-Tested),2309,6959326
Desert Eagle | Conspiracy (Factory New),248,218736
StatTrak™ USP-S | Torque (Field-Tested),250,38250
AK-47 | Cartel (Field-Tested),466,445030
SCAR-20 | Cyrex (Minimal Wear),24,117600
MP9 | Sand Dashed (Field-Tested),10708,10708
G3SG1 | Jungle Dashed (Field-Tested),11994,11994
M4A4 | Desert-Strike (Battle-Scarred),21,7182
CZ75-Auto | Army Sheen (Factory New),157,57148
MP9 | Deadly Poison (Minimal Wear),191,12606
XM1014 | Blue Steel (Minimal Wear),118,472
StatTrak™ Galil AR | Eco (Field-Tested),42,39354
StatTrak™ P250 | Valence (Field-Tested),540,11340
StatTrak™ MP7 | Armor Core (Field-Tested),171,3420
StatTrak™ M249 | System Lock (Field-Tested),161,7728
P2000 | Handgun (Well-Worn),36,2088
P2000 | Handgun (Field-Tested),129,8127
Sticker | Cloud9 | Cologne 2014,46,35374
Music Kit | Skog, Metal,41,8979
USP-S | Guardian (Factory New),362,242902
StatTrak™ P2000 | Handgun (Well-Worn),54,6156
StatTrak™ M4A4 | Griffin (Field-Tested),136,51000
StatTrak™ M4A1-S | Blood Tiger (Minimal Wear),151,145866
StatTrak™ P2000 | Corticera (Minimal Wear),19,35188
AK-47 | Emerald Pinstripe (Minimal Wear),324,125712
StatTrak™ Glock-18 | Blue Fissure (Field-Tested),87,33234
StatTrak™ Glock-18 | Grinder (Minimal Wear),108,50760
Tec-9 | Groundwater (Field-Tested),5511,5511
SCAR-20 | Grotto (Field-Tested),94,2632
P2000 | Handgun (Minimal Wear),89,8989
Sticker Capsule,559,29627
M249 | Jungle DDPAT (Field-Tested),78,16848
MP7 | Anodized Navy (Factory New),229,9618
AUG | Torque (Field-Tested),40,31760
M4A4 | Desert-Strike (Field-Tested),78,25350
G3SG1 | Murky (Minimal Wear),30,1530
Five-SeveN | Anodized Gunmetal (Factory New),24,22368
M4A4 | 龍王 (Dragon King) (Field-Tested),398,247158
Sticker | Vox Eminor  | Katowice 2015,7,50820
XM1014 | Blue Spruce (Well-Worn),1640,1640
M4A1-S,1,0
5 Year Veteran Coin,1,0
Sealed Graffiti | X-Axes (Jungle Green),686,686
Dual Berettas | Colony (Battle-Scarred),1901,1901
MP7 | Asterion (Field-Tested),301,124614
Sticker | Cloud9 | Boston 2018,685,189060
Tec-9 | Urban DDPAT (Field-Tested),9338,9338
AWP | Safari Mesh (Well-Worn),358,1432
R8 Revolver | Grip (Battle-Scarred),45,135
MP9 | Black Sand (Field-Tested),81,324
StatTrak™ P2000 | Urban Hazard (Well-Worn),36,252
StatTrak™ M4A1-S | Flashback (Minimal Wear),56,24024
P250 | Valence (Factory New),161,9016
Sealed Graffiti | Eye Spy (Bazooka Pink),450,450
MAG-7 | Cobalt Core (Well-Worn),20,400
Sealed Graffiti | Double (Blood Red),429,429
P250 | Supernova (Field-Tested),171,9234
Sealed Graffiti | Toasted (Desert Amber),1059,1059
MP7 | Army Recon (Field-Tested),12106,12106
Sealed Graffiti | Lambda (Jungle Green),461,461
Sealed Graffiti | 8-Ball (Tracer Yellow),643,1286
UMP-45 | Urban DDPAT (Field-Tested),13725,13725
Sealed Graffiti | Sorry (Dust Brown),297,297
MP7 | Forest DDPAT (Field-Tested),13345,13345
eSports Key,232,0
Nova | Predator (Field-Tested),12208,12208
AK-47 | Orbit Mk01 (Minimal Wear),335,572850
P250 | Steel Disruption (Field-Tested),21,4158
P90 | Chopper (Minimal Wear),172,12728
P90 | Teardown (Minimal Wear),212,5936
Sealed Graffiti | Double (Monarch Blue),476,476
Sealed Graffiti | Jump Shot (Bazooka Pink),433,433
M4A1-S | Flashback (Battle-Scarred),329,8225
Five-SeveN | Capillary (Field-Tested),1130,23730
