
***************************************
Calculating total value of all items...
***************************************

Total value: $8,717,398.45

***************************************
Calculating total value by bot...
***************************************

76561198583274760: $115,740.88 (517)
76561198184163490: $79,857.10 (741)
76561198307723248: $79,627.18 (581)
76561198173384045: $58,834.80 (766)
76561198262418191: $44,118.91 (752)
76561198307992605: $44,117.88 (685)
76561198254158296: $41,166.01 (721)
76561198377043200: $40,029.34 (559)
76561198299205051: $39,996.72 (630)
76561198299694129: $35,635.16 (645)
76561198398476463: $34,224.60 (457)
76561198308233430: $34,048.97 (516)
76561198304586049: $33,849.12 (665)
76561198300722082: $31,509.08 (584)
76561198401407310: $30,770.11 (159)
76561198589504203: $29,949.02 (525)
76561198168850067: $29,849.77 (762)
76561198184166559: $29,782.23 (790)
76561198205511064: $28,498.03 (777)
76561198184153373: $26,214.12 (728)
76561198173363965: $25,762.87 (734)
76561198306446446: $23,770.29 (652)
76561198304414705: $23,224.75 (615)
76561198584069013: $22,845.60 (588)
76561198173383125: $22,737.46 (759)
76561198184128817: $22,096.70 (757)
76561198254491833: $20,127.33 (765)
76561198300521822: $19,642.05 (747)
76561198299454365: $19,124.56 (718)
76561198255005250: $18,848.05 (635)
76561198184578066: $18,611.51 (808)
76561198205477928: $18,608.45 (812)
76561198583764438: $18,353.58 (372)
76561198251503204: $17,719.52 (722)
76561198254146101: $17,612.70 (637)
76561198254154593: $17,332.92 (664)
76561198299922017: $17,050.90 (684)
76561198184116987: $16,525.32 (732)
76561198173387937: $16,329.93 (830)
76561198377357621: $16,295.79 (645)
76561198254143623: $15,903.49 (747)
76561198376327103: $15,643.17 (405)
76561198262415579: $15,631.00 (717)
76561198216651056: $15,384.30 (774)
76561198583819458: $15,169.24 (463)
76561198398979082: $15,018.89 (229)
76561198184140893: $14,765.15 (755)
76561198302820695: $14,237.17 (620)
76561198253339321: $14,216.97 (661)
76561198173404159: $14,059.06 (738)
76561198254151830: $13,955.44 (770)
76561198254464781: $13,694.36 (643)
76561198583264280: $13,659.95 (662)
76561198251471410: $13,341.37 (702)
76561198035405071: $13,160.23 (752)
76561198219394857: $12,805.31 (683)
76561198184552293: $12,778.35 (719)
76561198216283564: $12,608.76 (835)
76561198262440758: $12,600.21 (739)
76561198398465599: $12,567.14 (383)
76561198583817624: $12,527.79 (363)
76561198173389782: $12,503.79 (786)
76561198253326910: $12,463.41 (689)
76561198308333472: $12,327.85 (512)
76561198210775457: $12,237.26 (297)
76561198251528866: $12,087.60 (679)
76561198184146501: $12,067.04 (700)
76561198306601997: $11,986.97 (565)
76561198254996294: $11,808.34 (635)
76561198184443385: $11,784.78 (717)
76561198377142564: $11,684.89 (481)
76561198583776097: $11,581.45 (449)
76561198184174358: $11,532.95 (792)
76561198399033094: $11,226.88 (152)
76561198307224722: $11,219.72 (548)
76561198184594810: $11,166.74 (675)
76561198308246454: $11,161.49 (450)
76561198184151097: $11,021.87 (758)
76561198254489993: $11,000.35 (723)
76561198216650592: $10,812.85 (770)
76561198399750748: $10,779.02 (832)
76561198377293956: $10,751.81 (486)
76561198184184738: $10,720.37 (771)
76561198184630606: $10,674.66 (769)
76561198184129861: $10,626.10 (733)
76561198299695177: $10,589.60 (694)
76561198254490084: $10,542.48 (647)
76561198219287865: $10,519.10 (565)
76561198299089354: $10,499.84 (714)
76561198254997918: $10,486.08 (716)
76561198402166037: $10,308.54 (299)
76561198253321718: $10,296.41 (727)
76561198184212473: $10,250.54 (832)
76561198304363895: $9,991.77 (694)
76561198216214572: $9,877.90 (735)
76561198299144823: $9,854.96 (621)
76561198376566780: $9,763.37 (300)
76561198254501151: $9,649.22 (652)
76561198176758587: $9,581.11 (754)
76561198254492628: $9,568.69 (649)
76561198173387285: $9,538.19 (738)
76561198184503951: $9,511.68 (780)
76561198184508833: $9,426.14 (780)
76561198376579914: $9,425.03 (398)
76561198184202690: $9,413.78 (806)
76561198216283152: $9,365.79 (739)
76561198247082062: $9,365.57 (682)
76561198305924995: $9,349.93 (625)
76561198210860047: $9,335.25 (395)
76561198583804655: $9,319.23 (619)
76561198254494217: $9,278.77 (623)
76561198301335875: $9,221.51 (609)
76561198399236995: $9,216.72 (558)
76561198254469820: $9,164.79 (635)
76561198254999141: $9,138.28 (741)
76561198307843796: $9,123.47 (598)
76561198184150981: $9,116.98 (785)
76561198589478527: $9,104.69 (531)
76561198311223155: $9,096.98 (713)
76561198399187011: $9,049.19 (294)
76561198254164983: $8,951.57 (678)
76561198300530556: $8,920.19 (727)
76561198305846671: $8,884.11 (674)
76561198216281976: $8,861.53 (700)
76561198376528624: $8,848.42 (582)
76561198201309234: $8,846.15 (716)
76561198300591093: $8,835.81 (676)
76561198303782117: $8,792.18 (689)
76561198299951261: $8,653.16 (589)
76561198584067441: $8,646.02 (641)
76561198219549461: $8,584.21 (769)
76561198184472521: $8,527.97 (730)
76561198589482719: $8,519.78 (363)
76561198254147779: $8,490.40 (711)
76561198262345369: $8,439.00 (765)
76561198216279228: $8,428.39 (770)
76561198306754646: $8,398.59 (606)
76561198254133690: $8,390.01 (666)
76561198254167526: $8,371.02 (722)
76561198300546223: $8,365.55 (634)
76561198584048708: $8,362.77 (495)
76561198584077266: $8,288.21 (349)
76561198299484670: $8,280.55 (682)
76561198304132297: $8,237.73 (607)
76561198253334068: $8,185.05 (742)
76561198176689109: $8,181.55 (731)
76561198254968841: $8,179.94 (799)
76561198184526997: $8,163.25 (724)
76561198184547478: $8,162.35 (763)
76561198254507340: $8,130.21 (672)
76561198306398381: $8,110.48 (447)
76561198300352193: $8,102.54 (655)
76561198255021080: $8,047.87 (685)
76561198219355579: $8,042.42 (689)
76561198377903292: $8,033.98 (574)
76561198216624104: $8,033.65 (739)
76561198584050018: $7,968.90 (423)
76561198376289553: $7,949.69 (577)
76561198306514906: $7,925.05 (488)
76561198589514159: $7,924.03 (474)
76561198262334716: $7,917.20 (705)
76561198589499880: $7,913.05 (366)
76561198254163667: $7,897.28 (687)
76561198378993784: $7,890.15 (496)
76561198176743494: $7,843.67 (703)
76561198584097309: $7,836.79 (374)
76561198303793192: $7,784.69 (655)
76561198308031377: $7,779.50 (440)
76561198299881324: $7,739.40 (704)
76561198184459581: $7,731.15 (764)
76561198251513632: $7,668.65 (728)
76561198583767582: $7,653.48 (594)
76561198589491103: $7,644.98 (674)
76561198300069678: $7,633.68 (629)
76561198253340390: $7,620.01 (607)
76561198219304693: $7,573.83 (688)
76561198308240242: $7,490.27 (655)
76561198584074777: $7,437.59 (400)
76561198301736322: $7,421.12 (552)
76561198255023949: $7,407.29 (767)
76561198299156984: $7,394.46 (674)
76561198300569583: $7,376.76 (682)
76561198254959827: $7,362.13 (688)
76561198377851039: $7,353.73 (527)
76561198583816445: $7,352.01 (313)
76561198401074677: $7,340.92 (153)
76561198299139808: $7,320.01 (692)
76561198306522967: $7,319.86 (532)
76561198309021518: $7,293.43 (652)
76561198262442169: $7,284.02 (658)
76561198300494228: $7,273.56 (668)
76561198254980687: $7,254.86 (692)
76561198254966167: $7,252.95 (704)
76561198307723297: $7,228.75 (444)
76561198255011020: $7,226.09 (676)
76561198583292707: $7,207.24 (697)
76561198262412462: $7,194.50 (689)
76561198376336274: $7,177.12 (535)
76561198589466475: $7,168.10 (648)
76561198308588277: $7,148.39 (619)
76561198254152945: $7,138.42 (698)
76561198583215810: $7,106.28 (606)
76561198184093425: $7,098.12 (742)
76561198307820365: $7,093.93 (433)
76561198310584090: $7,080.40 (493)
76561198306502893: $7,049.50 (566)
76561198299842814: $7,017.38 (713)
76561198306417770: $6,994.37 (623)
76561198589501452: $6,989.83 (631)
76561198299772389: $6,969.49 (698)
76561198254488787: $6,967.26 (691)
76561198583237687: $6,952.86 (673)
76561198254978314: $6,951.11 (673)
76561198254996303: $6,942.33 (744)
76561198306907524: $6,936.71 (638)
76561198254153619: $6,924.36 (700)
76561198247163560: $6,885.00 (659)
76561198176733822: $6,874.08 (821)
76561198306349374: $6,858.86 (559)
76561198304999380: $6,803.62 (612)
76561198304550880: $6,783.65 (740)
76561198262441901: $6,768.49 (751)
76561198583280000: $6,762.19 (615)
76561198398401979: $6,755.00 (250)
76561198306669653: $6,737.89 (603)
76561198299405778: $6,737.18 (652)
76561198254496118: $6,711.74 (704)
76561198306166681: $6,711.14 (560)
76561198377109340: $6,707.54 (531)
76561198583778979: $6,701.54 (430)
76561198254491950: $6,679.35 (738)
76561198583281703: $6,653.96 (671)
76561198254974826: $6,618.96 (688)
76561198251723150: $6,611.48 (716)
76561198589483374: $6,594.87 (454)
76561198401197988: $6,586.75 (456)
76561198254955469: $6,578.00 (738)
76561198300783047: $6,576.59 (722)
76561198253047367: $6,567.31 (652)
76561198262441402: $6,554.14 (654)
76561198399087009: $6,540.25 (410)
76561198233350724: $6,526.26 (658)
76561198253334628: $6,520.17 (730)
76561198254472264: $6,463.77 (680)
76561198253034742: $6,463.41 (757)
76561198251470712: $6,458.42 (677)
76561198300679374: $6,456.35 (714)
76561198254174991: $6,442.03 (712)
76561198233435704: $6,427.33 (768)
76561198398531657: $6,424.60 (977)
76561198254149455: $6,407.22 (573)
76561198304453801: $6,395.83 (629)
76561198305772806: $6,377.52 (705)
76561198219385307: $6,373.13 (589)
76561198399251929: $6,341.58 (351)
76561198304453277: $6,336.82 (716)
76561198262416393: $6,330.55 (792)
76561198583248167: $6,328.54 (655)
76561198306632335: $6,327.70 (597)
76561198376747385: $6,322.19 (387)
76561198583296113: $6,321.54 (704)
76561198253040682: $6,313.43 (833)
76561198307193844: $6,302.11 (614)
76561198254164387: $6,296.71 (705)
76561198584068227: $6,268.82 (493)
76561198299480192: $6,249.36 (663)
76561198307157477: $6,200.32 (629)
76561198300726685: $6,136.48 (588)
76561198378595330: $6,132.27 (554)
76561198401049879: $6,128.36 (153)
76561198301234458: $6,119.68 (725)
76561198300470891: $6,110.89 (696)
76561198305769009: $6,071.01 (666)
76561198254505442: $6,068.25 (585)
76561198309013887: $6,065.51 (446)
76561198262457794: $6,046.25 (688)
76561198304272710: $6,038.10 (678)
76561198307855413: $6,031.13 (702)
76561198262425002: $6,019.27 (633)
76561198308315686: $6,015.54 (483)
76561198300575871: $6,009.81 (593)
76561198308413111: $5,943.66 (614)
76561198251597246: $5,933.49 (760)
76561198302123245: $5,930.20 (783)
76561198305857881: $5,907.79 (508)
76561198254145867: $5,898.37 (680)
76561198262428792: $5,898.11 (659)
76561198262480241: $5,889.70 (693)
76561198584053555: $5,868.45 (680)
76561198254171689: $5,854.25 (679)
76561198216558456: $5,837.60 (706)
76561198254980744: $5,806.59 (714)
76561198262463413: $5,800.65 (681)
76561198400376010: $5,797.69 (262)
76561198254163545: $5,778.92 (743)
76561198300049898: $5,774.52 (700)
76561198307295293: $5,761.75 (603)
76561198254498238: $5,752.61 (650)
76561198251568662: $5,736.84 (681)
76561198262401338: $5,729.44 (665)
76561198254493375: $5,725.13 (711)
76561198254955977: $5,711.29 (599)
76561198299819934: $5,675.39 (659)
76561198307847846: $5,645.45 (589)
76561198308382851: $5,643.33 (547)
76561198583226290: $5,638.91 (567)
76561198184574931: $5,602.71 (718)
76561198311422319: $5,600.47 (373)
76561198255000137: $5,592.64 (622)
76561198300817958: $5,585.32 (659)
76561198307852765: $5,585.24 (674)
76561198219365715: $5,572.73 (715)
76561198307374789: $5,571.02 (311)
76561198306066498: $5,570.68 (503)
76561198300859167: $5,569.99 (570)
76561198254495098: $5,566.97 (686)
76561198219302145: $5,552.18 (655)
76561198305608998: $5,547.30 (652)
76561198262450381: $5,534.10 (751)
76561198254999883: $5,527.86 (607)
76561198299727584: $5,527.16 (636)
76561198254175962: $5,525.69 (677)
76561198251648202: $5,487.07 (777)
76561198300633766: $5,484.69 (732)
76561198306086636: $5,481.89 (627)
76561198254158431: $5,477.17 (723)
76561198262681532: $5,475.67 (661)
76561198307092287: $5,443.78 (612)
76561198254491009: $5,440.09 (754)
76561198263107499: $5,434.28 (699)
76561198219438063: $5,431.41 (659)
76561198184466093: $5,429.91 (738)
76561198300483460: $5,422.31 (757)
76561198255045150: $5,409.36 (758)
76561198253037825: $5,403.36 (734)
76561198376519674: $5,399.51 (491)
76561198254159666: $5,393.25 (703)
76561198253324326: $5,363.10 (753)
76561198306609452: $5,347.84 (625)
76561198377847573: $5,332.59 (354)
76561198219462139: $5,327.62 (763)
76561198307755174: $5,312.15 (415)
76561198299860555: $5,309.05 (711)
76561198254162189: $5,295.17 (592)
76561198307185954: $5,286.51 (574)
76561198583779372: $5,278.34 (515)
76561198305119421: $5,271.09 (759)
76561198254503655: $5,265.47 (662)
76561198401841595: $5,263.81 (322)
76561198254491785: $5,249.69 (681)
76561198184564803: $5,249.49 (673)
76561198307469680: $5,248.89 (643)
76561198411274745: $5,211.30 (135)
76561198300873364: $5,206.76 (668)
76561198253031536: $5,198.79 (722)
76561198306472575: $5,177.35 (608)
76561198210815475: $5,164.58 (336)
76561198255016102: $5,151.23 (691)
76561198254989755: $5,140.85 (809)
76561198377830452: $5,139.67 (374)
76561198398497896: $5,135.56 (350)
76561198299896723: $5,124.27 (831)
76561198305172662: $5,113.91 (596)
76561198262922458: $5,113.08 (717)
76561198301853129: $5,106.16 (665)
76561198262412251: $5,103.74 (630)
76561198399157725: $5,090.99 (350)
76561198299113877: $5,088.10 (557)
76561198303805506: $5,085.99 (600)
76561198584071502: $5,075.15 (468)
76561198583280524: $5,074.24 (567)
76561198255000665: $5,067.04 (639)
76561198299323666: $5,052.22 (732)
76561198184473681: $5,043.67 (667)
76561198300459828: $5,039.81 (585)
76561198262456417: $5,034.78 (698)
76561198300483689: $5,031.99 (627)
76561198307068525: $5,021.93 (561)
76561198300023323: $5,019.51 (614)
76561198254182759: $5,016.75 (718)
76561198300597302: $5,011.37 (765)
76561198583777800: $5,005.73 (433)
76561198254174827: $5,004.79 (596)
76561198584057616: $4,998.33 (394)
76561198255002811: $4,993.33 (515)
76561198251470926: $4,992.82 (715)
76561198299818286: $4,987.69 (674)
76561198300539706: $4,976.57 (741)
76561198219332033: $4,968.11 (714)
76561198254981322: $4,964.27 (620)
76561198300372246: $4,956.99 (685)
76561198399117026: $4,956.61 (449)
76561198262431848: $4,939.50 (675)
76561198589513766: $4,938.68 (553)
76561198201353795: $4,938.27 (703)
76561198219312661: $4,933.11 (690)
76561198304491033: $4,923.50 (617)
76561198399180018: $4,917.47 (587)
76561198401840748: $4,908.72 (112)
76561198253039612: $4,906.65 (623)
76561198253325241: $4,905.36 (701)
76561198253333830: $4,899.07 (704)
76561198215012959: $4,893.54 (731)
76561198254497852: $4,892.00 (725)
76561198398469415: $4,891.56 (427)
76561198300439530: $4,885.82 (670)
76561198184535169: $4,877.87 (690)
76561198589511670: $4,869.97 (481)
76561198262437148: $4,863.39 (782)
76561198583305283: $4,853.54 (519)
76561198254495733: $4,851.95 (649)
76561198301280195: $4,850.00 (602)
76561198306960562: $4,845.70 (740)
76561198254479602: $4,819.55 (739)
76561198307431854: $4,819.03 (537)
76561198583777407: $4,810.17 (605)
76561198589470012: $4,781.72 (467)
76561198584062856: $4,778.49 (454)
76561198306045967: $4,776.26 (507)
76561198254504680: $4,765.14 (664)
76561198305159679: $4,762.76 (684)
76561198301379620: $4,759.73 (622)
76561198306756218: $4,759.16 (624)
76561198262903922: $4,751.33 (735)
76561198376628099: $4,751.15 (579)
76561198583789852: $4,732.97 (480)
76561198583236901: $4,727.18 (502)
76561198306525145: $4,710.99 (578)
76561198583249739: $4,708.35 (492)
76561198583248691: $4,708.11 (597)
76561198254990158: $4,689.03 (601)
76561198306763949: $4,688.45 (489)
76561198306671569: $4,681.26 (530)
76561198299098243: $4,669.72 (665)
76561198184555026: $4,668.52 (740)
76561198306278887: $4,656.39 (618)
76561198583218168: $4,655.48 (708)
76561198310561045: $4,654.10 (441)
76561198300418120: $4,651.68 (722)
76561198233384312: $4,638.75 (704)
76561198303901728: $4,637.00 (588)
76561198254952801: $4,636.49 (616)
76561198262415706: $4,626.59 (725)
76561198299139088: $4,625.77 (719)
76561198262417409: $4,607.48 (647)
76561198254746819: $4,605.72 (673)
76561198254986894: $4,605.38 (716)
76561198254162178: $4,596.39 (713)
76561198304431355: $4,595.53 (676)
76561198254159788: $4,591.21 (676)
76561198254165716: $4,579.31 (585)
76561198306129877: $4,576.46 (567)
76561198254179477: $4,569.33 (648)
76561198306709074: $4,558.42 (502)
76561198583782385: $4,557.36 (541)
76561198398454612: $4,550.83 (426)
76561198254494214: $4,545.54 (631)
76561198251702978: $4,541.62 (339)
76561198253344747: $4,539.19 (623)
76561198583203234: $4,538.90 (586)
76561198184465747: $4,536.36 (360)
76561198306847502: $4,532.55 (538)
76561198583297292: $4,529.49 (543)
76561198306732337: $4,520.41 (563)
76561198308270992: $4,520.13 (642)
76561198254484168: $4,519.45 (791)
76561198308343484: $4,513.17 (591)
76561198399199705: $4,501.14 (497)
76561198308338404: $4,500.82 (500)
76561198253332495: $4,492.26 (680)
76561198583802166: $4,478.50 (562)
76561198306712075: $4,469.17 (618)
76561198376376994: $4,466.09 (522)
76561198254499371: $4,462.56 (601)
76561198307791899: $4,449.09 (572)
76561198583808847: $4,439.68 (419)
76561198254470994: $4,428.03 (671)
76561198254521492: $4,426.62 (696)
76561198254519759: $4,426.37 (647)
76561198253047240: $4,419.33 (717)
